Pur,Ch,Dm,Adr,Pos,U#,Type,Load,Acc,Clr,Gbo,Gsiz,Ckt,C#,Cbl,DtaC,Mk,Sys,RAM,DMX,CAT,L620,SGP,CT,VT,Mod,DPF,HC,MD,FIBR,IRN,PCon,T1,ADPT,OCH,IP,NFN,NF,HFC,Print,SLXN,FCAN,Scy,L/R,U/D,Nt,US,DS,SR,SL,Top,Bot,Foc,Ax,Bm,Layer,Legend,Class,XCord,YCord,ZCord,Rot,VWFcPt,LtOrd,LW,Ext,Sym,Plt,Univ,DMX,Phs,PosOrd,WkStat,DTyp,ClrFm,When,Pos & U#,Type & Acc,Type & Load,Type & Acc & Load,Ckt & C#,Clr & Gbo,Flgs,DxQ,Wt,Typ Sym,Lbl Lgnd,LtPlt,Acc Wt,Prof,Pur Nt,Ch Nt,Dm Nt,Adr Nt,Pos Nt,U# Nt,Type Nt,Load Nt,Acc Nt,Clr Nt,Gbo Nt,Gsiz Nt,Ckt Nt,C# Nt,Cbl Nt,DtaC Nt,Mk Nt,Sys Nt,RAM Nt,DMX Nt,CAT Nt,L620 Nt,SGP Nt,CT Nt,VT Nt,Mod Nt,DPF Nt,HC Nt,MD Nt,FIBR Nt,IRN Nt,PCon Nt,T1 Nt,ADPT Nt,OCH Nt,IP Nt,NFN Nt,NF Nt,HFC Nt,Print Nt,SLXN Nt,FCAN Nt,Scy Nt,L/R Nt,U/D Nt,Nt Nt,Ct1 Nt
FRT DLC,203,108,1/108,FOH Cove,8,S4-14,750,TH,R119,,,1B,2,,,,A,,,,,,,,,,,,,,,,,,,,,,,,DLC,,7L,+3,,,C/T EOD,,,,,Not,,Sharp/Medium,[GP] LX-FOH,GS Main,None,"7'-6""","-15'-1""",0',,,12,19212C:495:1D:1B:Vecto,1482.1.1.0.0,S4-14 750w-Short,Yes,1,108,,3,,Light,Source 4 14°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,FOH Cove #8,S4-14+TH,S4-14 750w,S4-14+TH 750w,1B-2,R119,,1,40 lbs,S4-14 750w-Short,GS Main-Side Purpose,True,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRT ULC,223,109,1/109,FOH Cove,9,S4-10,750,TH,R119,,,1B,3,,,,A,,,,,,,,,,,,,,,,,,,,,,,,ULC,,7L,+23,,C/T +31 @ HH,,,,,,Not,,Sharp/Medium,[GP] LX-FOH,GS Main,None,6',"-15'-1""",0',,,13,D87B2:478:1D:1A:Vecto,1483.1.1.0.0,S4-10 750w-Short,Yes,1,109,,3,,Light,Source 4 10°,11/10/21 at 9:19 PM - Access  by Ronald Schwier,FOH Cove #9,S4-10+TH,S4-10 750w,S4-10+TH 750w,1B-3,R119,,1,36 lbs,S4-10 750w-Short,GS Main,True,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRT MC,214,110,1/110,FOH Cove,10,S4-10,750,TH,R119,,,1B,4,,,,A,,,,,,,,,,,,,,,,,,,,,,,,MC,,CL,+13,,C/O Wall,,,,,,Not,,Sharp/Medium,[GP] LX-FOH,GS Main,None,"1'-6""","-15'-1""",0',,,14,17F4AB:5D4:1D:1B:Vecto,1468.1.1.0.0,S4-10 750w-Short,Yes,1,110,,3,,Light,Source 4 10°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,FOH Cove #10,S4-10+TH,S4-10 750w,S4-10+TH 750w,1B-4,R119,,1,36 lbs,S4-10 750w-Short,GS Main,True,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRT DC,204,111,1/111,FOH Cove,11,S4-14,750,TH,R119,,,1B,5,,,,A,,,,,,,,,,,,,,,,,,,,,,,,DC,,CL,+3,,,C/T EOD,,,,,Not,,Sharp/Medium,[GP] LX-FOH,GS Main,None,0',"-15'-1""",0',,,15,181F93:5F1:1D:1B:Vecto,1467.1.1.0.0,S4-14 750w-Short,Yes,1,111,,3,,Light,Source 4 14°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,FOH Cove #11,S4-14+TH,S4-14 750w,S4-14+TH 750w,1B-5,R119,,1,40 lbs,S4-14 750w-Short,GS Main-Side Purpose,True,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRT UC,224,112,1/112,FOH Cove,12,S4-10,750,TH,R119,,,1C,1,,,,A,,,,,,,,,,,,,,,,,,,,,,,,UC,,CL,+23,,C/T +31 @ HH,,,,,,Not,,Sharp/Medium,[GP] LX-FOH,GS Main,None,"-1'-6""","-15'-1""",0',,,16,748A8A:60E:1D:1B:Vecto,1466.1.1.0.0,S4-10 750w-Short,Yes,1,112,,3,,Light,Source 4 10°,11/10/21 at 9:19 PM - Access  by Ronald Schwier,FOH Cove #12,S4-10+TH,S4-10 750w,S4-10+TH 750w,1C-1,R119,,1,36 lbs,S4-10 750w-Short,GS Main,True,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRT MRC,215,113,1/113,FOH Cove,13,S4-10,750,TH,R119,,,1C,2,,,,A,,,,,,,,,,,,,,,,,,,,,,,,MRC,,7R,+13,,C/O Wall,,,,,,Not,,Sharp/Medium,[GP] LX-FOH,GS Main,None,-6',"-15'-1""",0',,,17,1D8006:57D:1D:1B:Vecto,1474.1.1.0.0,S4-10 750w-Short,Yes,1,113,,3,,Light,Source 4 10°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,FOH Cove #13,S4-10+TH,S4-10 750w,S4-10+TH 750w,1C-2,R119,,1,36 lbs,S4-10 750w-Short,GS Main,True,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRT DRC,205,114,1/114,FOH Cove,14,S4-14,750,TH,R119,,,1C,3,,,,A,,,,,,,,,,,,,,,,,,,,,,,,DRC,,7R,+3,,,C/T EOD,,,,,Not,,Sharp/Medium,[GP] LX-FOH,GS Main,None,"-7'-6""","-15'-1""",0',,,18,3E76B8:59A:1D:1B:Vecto,1473.1.1.0.0,S4-14 750w-Short,Yes,1,114,,3,,Light,Source 4 14°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,FOH Cove #14,S4-14+TH,S4-14 750w,S4-14+TH 750w,1C-3,R119,,1,40 lbs,S4-14 750w-Short,GS Main-Side Purpose,True,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRT URC,225,115,1/115,FOH Cove,15,S4-10,750,TH,R119,,,1C,4,,,,A,,,,,,,,,,,,,,,,,,,,,,,,URC,,7R,+23,,C/T +31 @ HH,,,,,,Not,,Sharp/Medium,[GP] LX-FOH,GS Main,None,-9',"-15'-1""",0',,,19,8BD051:5B7:1D:1B:Vecto,1472.1.1.0.0,S4-10 750w-Short,Yes,1,115,,3,,Light,Source 4 10°,11/10/21 at 9:19 PM - Access  by Ronald Schwier,FOH Cove #15,S4-10+TH,S4-10 750w,S4-10+TH 750w,1C-4,R119,,1,36 lbs,S4-10 750w-Short,GS Main,True,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRT MR,216,116,1/116,FOH Cove,16,S4-10,750,TH,R119,,,1D,1,,,,A,,,,,,,,,,,,,,,,,,,,,,,,MR,,14R,+13,,C/O Wall,,,,,,Not,,Sharp/Medium,[GP] LX-FOH,GS Main,None,"-13'-6""","-15'-1""",0',,,20,965861:526:1D:1B:Vecto,1477.1.1.0.0,S4-10 750w-Short,Yes,1,116,,3,,Light,Source 4 10°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,FOH Cove #16,S4-10+TH,S4-10 750w,S4-10+TH 750w,1D-1,R119,,1,36 lbs,S4-10 750w-Short,GS Main,True,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRT DR,206,117,1/117,FOH Cove,17,S4-14,750,TH,R119,,,1D,2,,,,A,,,,,,,,,,,,,,,,,,,,,,,,DR,,14R,+3,,,C/T EOD,,,,,Not,,Sharp/Medium,[GP] LX-FOH,GS Main,None,-15',"-15'-1""",0',,,21,850395:543:1D:1B:Vecto,1476.1.1.0.0,S4-14 750w-Short,Yes,1,117,,3,,Light,Source 4 14°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,FOH Cove #17,S4-14+TH,S4-14 750w,S4-14+TH 750w,1D-2,R119,,1,40 lbs,S4-14 750w-Short,GS Main-Side Purpose,True,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
