Pur,Ch,Dm,Adr,Pos,U#,Type,Load,Acc,Clr,Gbo,Gsiz,Ckt,C#,Cbl,DtaC,Mk,Sys,RAM,DMX,CAT,L620,SGP,CT,VT,Mod,DPF,HC,MD,FIBR,IRN,PCon,T1,ADPT,OCH,IP,NFN,NF,HFC,Print,SLXN,FCAN,Scy,L/R,U/D,Nt,US,DS,SR,SL,Top,Bot,Foc,Ax,Bm,Layer,Legend,Class,XCord,YCord,ZCord,Rot,VWFcPt,LtOrd,LW,Ext,Sym,Plt,Univ,DMX,Phs,PosOrd,WkStat,DTyp,ClrFm,When,Pos & U#,Type & Acc,Type & Load,Type & Acc & Load,Ckt & C#,Clr & Gbo,Flgs,DxQ,Wt,Typ Sym,Lbl Lgnd,LtPlt,Acc Wt,Prof,Pur Nt,Ch Nt,Dm Nt,Adr Nt,Pos Nt,U# Nt,Type Nt,Load Nt,Acc Nt,Clr Nt,Gbo Nt,Gsiz Nt,Ckt Nt,C# Nt,Cbl Nt,DtaC Nt,Mk Nt,Sys Nt,RAM Nt,DMX Nt,CAT Nt,L620 Nt,SGP Nt,CT Nt,VT Nt,Mod Nt,DPF Nt,HC Nt,MD Nt,FIBR Nt,IRN Nt,PCon Nt,T1 Nt,ADPT Nt,OCH Nt,IP Nt,NFN Nt,NF Nt,HFC Nt,Print Nt,SLXN Nt,FCAN Nt,Scy Nt,L/R Nt,U/D Nt,Nt Nt,Ct1 Nt
Band L,361,P350,7/135,3 Electric,9,S4 LED-36,171,,R119,,,3J,2,,,,A,,5',,,,,,,,,"Direct, Strobe, Fan",,,10',,,,,,,,,,BAND,,,,"Center on SL band ""well"". Shutter tight to band area, but be sure to include all music stands",C/T US end of band,C/T DS end of band,C/T SR ned of band,C/T SL end of band,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,"7'-6""",17',0',180°,,15,2F1E25:6D9:1D:1B:Vecto,1528.1.1.0.0,S4 LED-36 Short,Yes,7,135,,12,,Moving Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,3 Electric #9,S4 LED-36,S4 LED-36 171w,S4 LED-36 171w,3J-2,R119,,10,38 lbs,S4 LED-36 Short,GS Main,True,,"Source 4 LED Series2 Lustr, Direct Strobe Fan",,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC,33,172,1/172,3 Electric,10,S4-36,750,,R119,,,1R,4,,,,A,,,,,,,,,,,,,,,,,,,,,,,,LC,,7L,+26,,,,,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,"6'-3""",17',0',180°,,16,5C366:6A37:28:22:Vecto,1145.1.1.0.0,S4-36 750w-Short,Yes,1,172,,12,,Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,3 Electric #10,S4-36,S4-36 750w,S4-36 750w,1R-4,R119,,1,35 lbs,S4-36 750w-Short,GS Main,True,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC CC,83,P350,7/145,3 Electric,11,S4 LED-36,171,,R119,,,3J,2,,,,A,,10',,,,,,,,,"Direct, Strobe, Fan",,,5',,,,,,,,,,LC,,7L,+26,,,,,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,"5'-3""",17',0',180°,,17,8C055C:6A51:28:22:Vecto,1144.1.1.0.0,S4 LED-36 Short,Yes,7,145,,12,,Moving Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,3 Electric #11,S4 LED-36,S4 LED-36 171w,S4 LED-36 171w,3J-2,R119,,10,38 lbs,S4 LED-36 Short,GS Main,True,,"Source 4 LED Series2 Lustr, Direct Strobe Fan",,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< R,164,P353,7/155,3 Electric,12,Encore WRM,596,,R119,,,3J,5,,,,A,,5',,,,,,,,,Mode 1,,,,,MT1-ML6,,,,,NO,,,R,,20R,+26,ZM 36,,,,,C/T top of doors,,Not,,,[GP] LX-Overstage,GS ML-Side,None,"3'-9""",17',0',90°,,18,2A82D4:5152:39:34:Vecto,1972.1.1.0.0,Martin MAC Encore Performance WRM,Yes,7,155,,12,,Moving Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,3 Electric #12,Encore WRM,Encore WRM 596w,Encore WRM 596w,3J-5,R119,,38,88 lbs,Martin MAC Encore Performance WRM,GS Main,True,,"MAC Encore Performance WRM, Mode1",,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worklight,804,S22,1/510,3 Electric,12w,Altman LED,,,,,,WL5,1,,,,A,,,,,125',,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,Not,,,[GP] LX-Overstage,GS Main Tight,None,"1'-9""",17',0',,,19,10AB4E:F763:23:1F:Ronal,2059.1.1.0.0,Worklight,Yes,1,510,,12,,Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,3 Electric #12w,Altman LED,Altman LED,Altman LED,WL5-1,,,,,Worklight,GS Main Tight,True,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C CC,84,P350,7/193,3 Electric,13,S4 LED-36,171,,R119,,,3J,2,,,,A,,10',,,,,,,,,"Direct, Strobe, Fan",,,10',,,,,,,,,,C,,CL,+26,,,,,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,"0'-6""",17',0',180°,,20,24C273:6372:28:21:Vecto,1141.1.1.0.0,S4 LED-36 Short,Yes,7,193,,12,,Moving Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,3 Electric #13,S4 LED-36,S4 LED-36 171w,S4 LED-36 171w,3J-2,R119,,10,38 lbs,S4 LED-36 Short,GS Main,True,,"Source 4 LED Series2 Lustr, Direct Strobe Fan",,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,34,173,1/173,3 Electric,14,S4-36,750,,R119,,,1R,5,,,,A,,,,,,,,,,,,,,,,,,,,,,,,C,,CL,+26,,,,,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,"0'-6""",17',0',180°,,21,8292CA:6358:28:21:Vecto,1142.1.1.0.0,S4-36 750w-Short,Yes,1,173,,12,,Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,3 Electric #14,S4-36,S4-36 750w,S4-36 750w,1R-5,R119,,1,35 lbs,S4-36 750w-Short,GS Main,True,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worklight,804,S22,1/510,3 Electric,14w,Altman LED,,,,,,WL5,1,,,,A,,,,,5',,,,,,,,,,,2-Fer,,,,,NO,,,,,,,,,,,,,,Not,,,[GP] LX-Overstage,GS Main Tight,None,"-1'-9""",17',0',,,22,3DE8C4:F76C:23:1F:Ronal,2061.1.1.0.0,Worklight,Yes,1,510,,12,,Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,3 Electric #14w,Altman LED,Altman LED,Altman LED,WL5-1,,,,,Worklight,GS Main Tight,True,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L >,174,P355,7/203,3 Electric,15,Encore WRM,596,,R119,,,3K,1,,,,A,,5',,,,,,,,,Mode 1,,,,,MT1-ML6,,,,,NO,,,L,,20L,+26,ZM 36,,,,,C/T top of doors,,Not,,,[GP] LX-Overstage,GS ML-Side,None,"-3'-9""",17',0',-90°,,23,96AF58:5082:39:34:Vecto,1980.1.1.0.0,Martin MAC Encore Performance WRM,Yes,7,203,,12,,Moving Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,3 Electric #15,Encore WRM,Encore WRM 596w,Encore WRM 596w,3K-1,R119,,38,88 lbs,Martin MAC Encore Performance WRM,GS Main,True,,"MAC Encore Performance WRM, Mode1",,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC CC,85,P356,7/241,3 Electric,16,S4 LED-36,171,,R119,,,3K,2,,,,A,,5',,,,,,,,,"Direct, Strobe, Fan",,,15',,ML6-FPC,,,,,,,,RC,,7R,+26,,,,,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,"-5'-3""",17',0',180°,,24,495CCD:6A03:28:22:Vecto,1159.1.1.0.0,S4 LED-36 Short,Yes,7,241,,12,,Moving Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,3 Electric #16,S4 LED-36,S4 LED-36 171w,S4 LED-36 171w,3K-2,R119,,10,38 lbs,S4 LED-36 Short,GS Main,True,,"Source 4 LED Series2 Lustr, Direct Strobe Fan",,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC,35,174,1/174,3 Electric,17,S4-36,750,,R119,,,1S,1,,,,A,,,,,,,,,,,,,,,,,,,,,,,,RC,,7R,+26,,,,,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,"-6'-3""",17',0',180°,,25,14DE72:6981:28:22:Vecto,1160.1.1.0.0,S4-36 750w-Short,Yes,1,174,,12,,Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,3 Electric #17,S4-36,S4-36 750w,S4-36 750w,1S-1,R119,,1,35 lbs,S4-36 750w-Short,GS Main,True,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Band R,362,P356,7/251,3 Electric,18,S4 LED-36,171,,R119,,,3K,2,,,,A,,10',,,,,,,,,"Direct, Strobe, Fan",,,10',,,,,,,,,,BAND,,,,"Center on SR band ""well"". Shutter tight to band area, but be sure to include all music stands",C/T US end of band,C/T DS end of band,C/T SR ned of band,C/T SL end of band,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,"-7'-6""",17',0',180°,,26,635676:6F6:1D:1B:Vecto,1527.1.1.0.0,S4 LED-36 Short,Yes,7,251,,12,,Moving Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,3 Electric #18,S4 LED-36,S4 LED-36 171w,S4 LED-36 171w,3K-2,R119,,10,38 lbs,S4 LED-36 Short,GS Main,True,,"Source 4 LED Series2 Lustr, Direct Strobe Fan",,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC >,173,P357,7/261,3 Electric,19,Encore WRM,596,,R119,,,3K,3,,,,A,,15',,,,,,,,,Mode 1,,,,,MT1-ML6,,,,,NO,,,LC,,10L,+26,ZM 36,,,,,,,Not,,,[GP] LX-Overstage,GS ML-Side,None,"-9'-9""",17',0',-90°,,27,31C900:50B6:39:34:Vecto,1978.1.1.0.0,Martin MAC Encore Performance WRM,Yes,7,261,,12,,Moving Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,3 Electric #19,Encore WRM,Encore WRM 596w,Encore WRM 596w,3K-3,R119,,38,88 lbs,Martin MAC Encore Performance WRM,GS Main,True,,"MAC Encore Performance WRM, Mode1",,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R CC,86,P356,7/299,3 Electric,20,S4 LED-36,171,,R119,,,3K,2,,,,A,,5',,,,,,,,,"Direct, Strobe, Fan",,,5',,,,,,,,,,R,,14R,+26,,,,,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,"-11'-3""",17',0',180°,,28,84F095:69E9:28:22:Vecto,1161.1.1.0.0,S4 LED-36 Short,Yes,7,299,,12,,Moving Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,3 Electric #20,S4 LED-36,S4 LED-36 171w,S4 LED-36 171w,3K-2,R119,,10,38 lbs,S4 LED-36 Short,GS Main,True,,"Source 4 LED Series2 Lustr, Direct Strobe Fan",,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,36,175,1/175,3 Electric,21,S4-36,750,,R119,,,1S,2,,,,A,,,,,,,,,,,,,,,,,,,,,,,,R,,14R,+26,,,,,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,"-12'-3""",17',0',180°,,29,787315:699B:28:22:Vecto,1162.1.1.0.0,S4-36 750w-Short,Yes,1,175,,12,,Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,3 Electric #21,S4-36,S4-36 750w,S4-36 750w,1S-2,R119,,1,35 lbs,S4-36 750w-Short,GS Main,True,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< SR Wall,343,176,1/176,3 Electric,22,PAR 64 WFL,1000,"9"" Dropdown",NC,,,1S,3,,,,A,,,,,,,,,,,,,,,,,,,,,,,,WALL,,,,Top of beam lands at top of top-most gunrack (3rd from DSR),,,,,,,Not,Vertical,,[GP] LX-Overstage,GS Main Tight-Side Purpose,None,"-13'-6""",17',0',90°,,30,983A4C:5222:39:34:Vecto,1964.1.1.0.0,PAR 64 WFL,Yes,1,176,,12,,Light,PAR 64,11/10/21 at 3:21 PM - YCoord  by Vectorworks,3 Electric #22,"PAR 64 WFL+9"" Dropdown",PAR 64 WFL 1kW,"PAR 64 WFL+9"" Dropdown 1kW",1S-3,NC,,1,18 lbs,PAR 64 WFL,GS Main,True,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C >,172,P358,7/309,3 Electric,23,Encore WRM,596,,R119,,,3K,4,,,,A,,10',,,,,,,,,Mode 1,,,,,MT1-ML6,,,,,NO,,,C,,CL,+26,ZM 36,,,,,,,Not,,,[GP] LX-Overstage,GS ML-Side,None,"-16'-6""",17',0',-90°,,31,5AD799:50EA:39:34:Vecto,1976.1.1.0.0,Martin MAC Encore Performance WRM,Yes,7,309,,12,,Moving Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,3 Electric #23,Encore WRM,Encore WRM 596w,Encore WRM 596w,3K-4,R119,,38,88 lbs,Martin MAC Encore Performance WRM,GS Main,True,,"MAC Encore Performance WRM, Mode1",,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR CC,87,P356,7/347,3 Electric,24,S4 LED-36,171,,R119,,,3K,2,,,,A,,10',,,,,,,,,"Direct, Strobe, Fan",,,10',,,,,,,,,,WR,,21R,+26,,,,C/O Wall,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,-18',17',0',180°,,32,5374D6:69CF:28:22:Vecto,1163.1.1.0.0,S4 LED-36 Short,Yes,7,347,,12,,Moving Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,3 Electric #24,S4 LED-36,S4 LED-36 171w,S4 LED-36 171w,3K-2,R119,,10,38 lbs,S4 LED-36 Short,GS Main,True,,"Source 4 LED Series2 Lustr, Direct Strobe Fan",,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR,37,177,1/177,3 Electric,25,S4-36,750,,R119,,,1S,4,,,,A,,,,,,,,,,,,,,,,,,,,,,,,WR,,21R,+26,,,,C/O Wall,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,-19',17',0',180°,,33,5144AF:69B5:28:22:Vecto,1164.1.1.0.0,S4-36 750w-Short,Yes,1,177,,12,,Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,3 Electric #25,S4-36,S4-36 750w,S4-36 750w,1S-4,R119,,1,35 lbs,S4-36 750w-Short,GS Main,True,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC >,171,P359,7/357,3 Electric,26,Encore WRM,596,,R119,,,3K,5,,,,A,,5',,,,,,,,,Mode 1,,,,,MT1-ML6,,,,,NO,,,RC,,10R,+26,ZM 36,,,,,,,Not,,,[GP] LX-Overstage,GS ML-Side,None,-21',17',0',-90°,,34,D5500:511E:39:34:Vecto,1974.1.1.0.0,Martin MAC Encore Performance WRM,Yes,7,357,,12,,Moving Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,3 Electric #26,Encore WRM,Encore WRM 596w,Encore WRM 596w,3K-5,R119,,38,88 lbs,Martin MAC Encore Performance WRM,GS Main,True,,"MAC Encore Performance WRM, Mode1",,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spare Circuit,,,,4 Electric,,,,,,,,WL6,2,,,,A,,,,,125',,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,,Not,,,,,,0',0',0',,,1,693659:F899:35:36:Ronal,,,No,,,,13,,Light,,10/18/21 at 8:44 PM - HFC  by me,4 Electric #,,,,WL6-2,,,,,,,False,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spare Circuit,,P372,,4 Electric,,,,,,,,3N,6,,,,A,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,,Not,,,,,,0',0',0',,,2,A97CA:D455:10:30:Ronal,,,No,,,,13,,Light,,10/18/21 at 8:44 PM - HFC  by me,4 Electric #,,,,3N-6,,,,,,,False,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spare Circuit,,P366,,4 Electric,,,,,,,,3M,6,,,,A,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,,Not,,,,,,0',0',0',,,3,19793A:D453:10:30:Ronal,,,No,,,,13,,Light,,10/18/21 at 8:44 PM - HFC  by me,4 Electric #,,,,3M-6,,,,,,,False,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spare Circuit,,,,4 Electric,,,,,,,,2B,6,,,,A,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,,Not,,,,,,0',0',0',,,4,5739F3:D433:10:30:Ronal,,,No,,,,13,,Light,,10/18/21 at 8:44 PM - HFC  by me,4 Electric #,,,,2B-6,,,,,,,False,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spare Circuit,,,,4 Electric,,,,,,,,2B,5,,,,A,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,,Not,,,,,,0',0',0',,,5,5C4CC8:D431:10:30:Ronal,,,No,,,,13,,Light,,10/18/21 at 8:44 PM - HFC  by me,4 Electric #,,,,2B-5,,,,,,,False,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spare Circuit,,,,4 Electric,,,,,,,,2A,6,,,,A,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,,Not,,,,,,0',0',0',,,6,1286FD:D42F:10:30:Ronal,,,No,,,,13,,Light,,10/18/21 at 8:44 PM - HFC  by me,4 Electric #,,,,2A-6,,,,,,,False,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< LC,181,P361,8/1,4 Electric,1,Encore WRM,596,,R119,,,3M,1,,,,A,,125',,,,,,,Octo 1-G,,Mode 1,,,,,MT1-ML6,,,,,NO,,,LC,,10L,+33,ZM 36,C/O Wall,,,,,,Not,,,[GP] LX-Overstage,GS ML-Side,None,21',24',0',90°,,7,4520A7:5034:39:34:Vecto,1983.1.1.0.0,Martin MAC Encore Performance WRM,Yes,8,1,,13,,Moving Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,4 Electric #1,Encore WRM,Encore WRM 596w,Encore WRM 596w,3M-1,R119,,38,88 lbs,Martin MAC Encore Performance WRM,GS Main,True,,"MAC Encore Performance WRM, Mode1",,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WL,41,201,1/201,4 Electric,2,S4-36,750,,R119,,,2A,1,,,,A,,,,,,,,,,,,,,,,,,,,,,,,WL,,21L,+33,,C/O Wall,,,C/O Wall,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,19',24',0',180°,,8,6C0702:6849:28:22:Vecto,1182.1.1.0.0,S4-36 750w-Short,Yes,1,201,,13,,Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,4 Electric #2,S4-36,S4-36 750w,S4-36 750w,2A-1,R119,,1,35 lbs,S4-36 750w-Short,GS Main,True,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WL CC,91,P362,8/39,4 Electric,3,S4 LED-36,171,,R119,,,3M,2,,,,A,,10',,,,,,,,,"Direct, Strobe, Fan",,,15',,ML6-FPC,,,,,,,,WL,,21L,+33,,C/O Wall,,,C/O Wall,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,18',24',0',180°,,9,509D82:6863:28:22:Vecto,1181.1.1.0.0,S4 LED-36 Short,Yes,8,39,,13,,Moving Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,4 Electric #3,S4 LED-36,S4 LED-36 171w,S4 LED-36 171w,3M-2,R119,,10,38 lbs,S4 LED-36 Short,GS Main,True,,"Source 4 LED Series2 Lustr, Direct Strobe Fan",,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< C,182,P363,8/49,4 Electric,4,Encore WRM,596,,R119,,,3M,3,,,,A,,10',,,,,,,,,Mode 1,,,,,MT1-ML6,,,,,NO,,,C,,CL,+33,ZM 36,C/O Wall,,,,,,Not,,,[GP] LX-Overstage,GS ML-Side,None,"16'-6""",24',0',90°,,10,8A1717:5000:39:34:Vecto,1985.1.1.0.0,Martin MAC Encore Performance WRM,Yes,8,49,,13,,Moving Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,4 Electric #4,Encore WRM,Encore WRM 596w,Encore WRM 596w,3M-3,R119,,38,88 lbs,Martin MAC Encore Performance WRM,GS Main,True,,"MAC Encore Performance WRM, Mode1",,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worklight,805,S23,1/511,4 Electric,4w,Altman LED,,,,,,WL6,1,,,,A,,,,,"125',10',5'",,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,Not,,,[GP] LX-Overstage,GS Main Tight,None,"14'-9""",24',0',,,11,8A56A0:F789:24:34:Ronal,2067.1.1.0.0,Worklight,Yes,1,511,,13,,Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,4 Electric #4w,Altman LED,Altman LED,Altman LED,WL6-1,,,,,Worklight,GS Main Tight,True,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SL Wall >,334,202,1/202,4 Electric,5,PAR 64 WFL,1000,"9"" Dropdown",NC,,,2A,2,,,,A,,,,,,,,,,,,,,,,,,,,,,,,WALL,,,,Top of beam lands at top of top-most gunrack (USL-most),,,,,,,Not,Vertical,,[GP] LX-Overstage,GS Main Tight-Side Purpose,None,"13'-6""",24',0',-90°,,12,8CD92F:504E:39:34:Vecto,1982.1.1.0.0,PAR 64 WFL,Yes,1,202,,13,,Light,PAR 64,11/10/21 at 3:21 PM - YCoord  by Vectorworks,4 Electric #5,"PAR 64 WFL+9"" Dropdown",PAR 64 WFL 1kW,"PAR 64 WFL+9"" Dropdown 1kW",2A-2,NC,,1,18 lbs,PAR 64 WFL,GS Main,True,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,42,203,1/203,4 Electric,6,S4-36,750,,R119,,,2A,3,,,,A,,,,,,,,,,,,,,,,,,,,,,,,L,,14L,+33,,C/O Wall,,,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,"12'-3""",24',0',180°,,13,4183BE:687D:28:22:Vecto,1180.1.1.0.0,S4-36 750w-Short,Yes,1,203,,13,,Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,4 Electric #6,S4-36,S4-36 750w,S4-36 750w,2A-3,R119,,1,35 lbs,S4-36 750w-Short,GS Main,True,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L CC,92,P362,8/87,4 Electric,7,S4 LED-36,171,,R119,,,3M,2,,,,A,,10',,,,,,,,,"Direct, Strobe, Fan",,,15',,,,,,,,,,L,,14L,+33,,C/O Wall,,,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,"11'-3""",24',0',180°,,14,5EFD1F:6897:28:22:Vecto,1179.1.1.0.0,S4 LED-36 Short,Yes,8,87,,13,,Moving Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,4 Electric #7,S4 LED-36,S4 LED-36 171w,S4 LED-36 171w,3M-2,R119,,10,38 lbs,S4 LED-36 Short,GS Main,True,,"Source 4 LED Series2 Lustr, Direct Strobe Fan",,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< RC,183,P364,8/97,4 Electric,8,Encore WRM,596,,R119,,,3M,4,,,,A,,5',,,,,,,,,Mode 1,,,,,MT1-ML6,,,,,NO,,,RC,,10R,+33,ZM 36,C/O Wall,,,,,,Not,,,[GP] LX-Overstage,GS ML-Side,None,"9'-9""",24',0',90°,,15,377840:4FCC:39:34:Vecto,1987.1.1.0.0,Martin MAC Encore Performance WRM,Yes,8,97,,13,,Moving Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,4 Electric #8,Encore WRM,Encore WRM 596w,Encore WRM 596w,3M-4,R119,,38,88 lbs,Martin MAC Encore Performance WRM,GS Main,True,,"MAC Encore Performance WRM, Mode1",,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPARE,641,P362,8/135,4 Electric,9,S4 LED-26,171,,R119,,,3M,2,,,,A,,10',,,,,,,,,"Direct, Strobe, Fan",,,10',,,,,,,NO,,,SPARE,,,,,,,,,,,Not,,,[GP] LX-Overstage,GS Main,None,"7'-6""",24',0',180°,,16,84344F:991:1D:1B:Vecto,1788.1.1.0.0,S4 LED-26 Short,Yes,8,135,,13,,Moving Light,Source 4 19° to 50°,11/10/21 at 5:21 PM - Purp  by me,4 Electric #9,S4 LED-26,S4 LED-26 171w,S4 LED-26 171w,3M-2,R119,,10,38 lbs,S4 LED-26 Short,GS Main,True,,"Source 4 LED Series2 Lustr, Direct Strobe Fan",,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
